City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Windspeed
0,Avarua,90,CK,1595287801,74,-21.21,-159.78,78.8,19.46
1,Beira,40,MZ,1595287801,94,-19.84,34.84,68.0,4.7
2,Carnarvon,0,AU,1595287801,81,-24.87,113.63,51.8,8.05
3,Qaanaaq,99,GL,1595287787,71,77.48,-69.36,48.2,1.43
4,Longyearbyen,75,SJ,1595287801,87,78.22,15.64,46.4,3.36
5,Kaitangata,97,NZ,1595287801,69,-46.28,169.85,51.33,6.31
6,Samarai,88,PG,1595287750,80,-10.62,150.67,77.49,16.46
7,Mathbaria,100,BD,1595287623,84,22.29,89.96,82.08,11.1
8,Hilo,40,US,1595287802,58,19.73,-155.09,84.2,10.29
9,Ushuaia,2,AR,1595287698,92,-54.8,-68.3,28.4,4.7
10,Fortuna,20,US,1595287802,77,40.6,-124.16,63.0,13.87
11,Hermanus,1,ZA,1595287803,81,-34.42,19.23,60.01,7.0
12,Mossamedes,5,AO,1595287803,62,-15.2,12.15,65.61,1.74
13,Geraldton,0,AU,1595287804,76,-28.77,114.6,48.2,16.11
14,Mataura,76,NZ,1595287788,83,-46.19,168.86,39.0,3.0
15,Jamestown,1,US,1595287783,53,42.1,-79.24,78.01,11.41
16,Clyde River,90,CA,1595287794,100,70.47,-68.59,42.8,12.75
17,Yellowknife,40,CA,1595287804,53,62.46,-114.35,75.99,9.17
18,The Valley,20,AI,1595287805,74,18.22,-63.06,84.2,10.29
19,Mogocha,100,RU,1595287806,95,53.73,119.77,50.86,5.48
20,Nikolskoye,95,RU,1595287801,88,59.7,30.79,62.6,4.47
21,Taltal,100,CL,1595287806,67,-25.4,-70.48,59.83,2.86
22,Vaini,0,TO,1595287806,64,-21.2,-175.2,75.2,8.05
23,Leningradskiy,0,RU,1595287807,62,69.38,178.42,47.95,11.86
24,Katherine,22,AU,1595287807,25,-14.47,132.27,66.2,10.29
25,Siderno,40,IT,1595287807,88,38.28,16.3,75.99,2.24
26,Tiksi,100,RU,1595287808,89,71.69,128.87,45.66,10.29
27,Aykhal,90,RU,1595287808,93,66.0,111.5,51.8,6.71
28,Riyadh,63,SA,1595287546,11,24.69,46.72,96.8,9.17
29,Ucluelet,20,CA,1595287624,57,48.93,-125.55,75.2,9.17
30,Conde,75,BR,1595287808,88,-7.26,-34.91,73.4,4.7
31,Shingū,99,JP,1595287808,74,33.73,135.98,82.4,3.36
32,Pervomayskoye,2,RU,1595287809,72,43.92,46.71,76.84,6.2
33,Kimbe,3,PG,1595287809,59,-5.55,150.14,87.49,3.22
34,Elko,9,US,1595287801,5,41.0,-115.5,97.0,17.0
35,Acapulco de Juárez,90,MX,1595287623,79,16.86,-99.89,86.0,4.7
36,Ambon City,75,ID,1595287810,94,-3.7,128.18,79.0,3.36
37,Vardø,100,NO,1595287810,80,70.37,31.11,59.34,6.26
38,Lüderitz,0,NA,1595287810,34,-26.65,15.16,64.4,8.05
39,Lakhdenpokh'ya,97,RU,1595287810,83,61.52,30.2,64.0,0.87
40,Lárdos,0,GR,1595287811,61,36.09,28.02,80.6,9.17
41,Lakatoro,20,VU,1595287811,65,-16.1,167.42,77.0,2.24
42,Upernavik,1,GL,1595287811,53,72.79,-56.15,48.45,8.7
43,Kavieng,67,PG,1595287811,71,-2.57,150.8,84.87,9.75
44,Tasiilaq,1,GL,1595287812,87,65.61,-37.64,44.6,6.93
45,Iracoubo,100,GF,1595287812,85,5.48,-53.2,78.24,8.61
46,Yinchuan,88,CN,1595287812,43,38.47,106.27,76.73,12.37
47,São João del Rei,1,BR,1595287812,79,-21.14,-44.26,58.33,3.67
48,Tuktoyaktuk,90,CA,1595287812,81,69.45,-133.04,42.8,9.17
49,Tiarei,20,PF,1595287813,65,-17.53,-149.33,82.4,4.7
50,Puerto Ayora,93,EC,1595287784,85,-0.74,-90.35,71.01,7.0
51,Akdepe,0,TM,1595287813,34,42.06,59.38,80.6,9.17
